A+A:Lccession;Org_location;Geo_Location;Country;USA;Host;Host family;Tissue_Specimen_Source;Collection_Date;Total Monthly Precipitation;Monthly Maximum Temperature;Monthly Minimum Temperature
KX547474;USA;USA: Albany Co., NY;USA;NY;Sciurus carolinensis;;;11-10-2002;5.18;13.2;3.6
OX442284;Germany;Germany: Thuringia;Germany;;Bubo scandiacus;Bird;;12-07-2020;1.05;23.6;11.3
KY652382;Turkey;Hatay Province, Turkey;Turkey;;Clanga pomarina;Bird;heart;01-09-2016;3.1;30.7;23.7
KY711339;Turkey;Hatay Province, Turkey;Turkey;;Clanga pomarina;Bird;kidney, abdominal cavity;01-09-2016;3.1;30.7;23.7
DQ823116;USA;USA: Albany Co., NY;USA;NY;Corvus brachyrhynchos;Bird;kidney, abdominal cavity;18-06-2004;2.2;23.9;12
DQ823142;USA;USA: Albany Co., NY;USA;NY;Corvus brachyrhynchos;Bird;kidney, abdominal cavity;03-09-2005;1.72;24.9;11.8
KY711338;Turkey;Hatay Province, Turkey;Turkey;;Clanga pomarina;Bird;spleen, abdominal cavity;01-09-2016;3.1;30.7;23.7
MH507632;USA;USA: San_Diego,California;USA;CA;Accipiter cooperii;Bird;tissue;25-06-2008;0.01;28.9;13.7
OQ721248;USA;USA: San Diego, California;USA;CA;Accipiter cooperii;Bird;tissue;17-11-2008;1.75;22.9;9.4
MH507677;USA;USA: San_Diego,California;USA;CA;Accipiter striatus;Bird;tissue;18-08-2015;0.02;31.4;18.1
MH507982;USA;USA: San_Diego,California;USA;CA;Accipiter striatus;Bird;tissue;16-12-2015;1.75;16.6;4.2
OQ721156;USA;USA: Sacramento, California;USA;CA;Aphelocoma californica;Bird;tissue;24-07-2007;0;33.7;15.6
OQ721654;USA;USA: Sacramento, California;USA;CA;Aphelocoma californica;Bird;tissue;24-07-2007;0;33.7;15.6
OQ721173;USA;USA: Sacramento, California;USA;CA;Aphelocoma californica;Bird;tissue;06-07-2008;0;33.8;15.4
OQ721376;USA;USA: Sacramento, California;USA;CA;Aphelocoma californica;Bird;tissue;18-08-2009;0;33.4;14.9
OQ721135;USA;USA: Sacramento, California;USA;CA;Aphelocoma californica;Bird;tissue;27-09-2009;0.19;32.9;14.6
OQ721379;USA;USA: Sacramento, California;USA;CA;Aphelocoma californica;Bird;tissue;02-10-2009;2.77;23.4;10
OQ721265;USA;USA: Sacramento, California;USA;CA;Aphelocoma californica;Bird;tissue;12-09-2010;0.02;31.5;13.9
OQ721115;USA;USA: Sacramento, California;USA;CA;Aphelocoma californica;Bird;tissue;07-06-2012;0.06;30.9;13.6
OQ721783;USA;USA: Sacramento, California;USA;CA;Aphelocoma californica;Bird;tissue;28-06-2012;0.06;30.9;13.6
OQ721801;USA;USA: Sacramento, California;USA;CA;Aphelocoma californica;Bird;tissue;15-06-2014;0;33;14.4
OQ721200;USA;USA: Sacramento, California;USA;CA;Aphelocoma californica;Bird;tissue;12-08-2014;0.01;32.7;16
OQ721215;USA;USA: Sacramento, California;USA;CA;Aphelocoma californica;Bird;tissue;06-08-2015;0;33.8;16.1
OQ721331;USA;USA: Sacramento, California;USA;CA;Aphelocoma californica;Bird;tissue;15-06-2016;0;33.2;14.7
OQ721120;USA;USA: Sacramento, California;USA;CA;Aphelocoma californica;Bird;tissue;07-06-2017;0.26;32.7;15.4
MH507828;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;21-07-2006;0;38.4;23.7
MH507829;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;31-07-2006;0;38.4;23.7
MH507830;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;01-08-2006;0;34.8;19.7
MH507831;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;02-08-2006;0;34.8;19.7
MH507833;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;09-08-2006;0;34.8;19.7
MH507835;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;15-08-2006;0;34.8;19.7
MH507837;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;30-08-2006;0;34.8;19.7
MH507838;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;07-06-2007;0;33.6;18.5
MH507839;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;13-06-2007;0;33.6;18.5
MH507840;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;14-06-2007;0;33.6;18.5
MH507841;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;20-06-2007;0;33.6;18.5
MH507842;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;22-06-2007;0;33.6;18.5
MH507843;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;25-06-2007;0;33.6;18.5
MH507844;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;25-06-2007;0;33.6;18.5
MH507845;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;29-06-2007;0;33.6;18.5
MH507846;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;29-06-2007;0;33.6;18.5
MH507847;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;05-07-2007;0;35.9;21.3
MH507848;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;09-07-2007;0;35.9;21.3
MH507849;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;09-07-2007;0;35.9;21.3
MH507850;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;09-07-2007;0;35.9;21.3
MH507851;USA;USA: Bakersfield,California;USA;CA;Aphelocoma californica;Bird;tissue;12-07-2007;0;35.9;21.3
MH507710;USA;USA: San_Andreas,California;USA;CA;Baeolophus inornatus;Bird;tissue;12-08-2008;0.16;30.5;16.9
MH507983;USA;USA: San_Diego,California;USA;CA;Buteo lineatus;Bird;tissue;30-12-2015;1.75;16.6;4.2
MH507853;USA;USA: Bakersfield,California;USA;CA;Calypte costae;Bird;tissue;27-06-2008;0;34.3;18.7
OQ721402;USA;USA: Sacramento, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;05-03-2008;0.11;19.7;5.9
OQ721231;USA;USA: Sacramento, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;02-07-2010;0;33.3;14.3
OQ721623;USA;USA: Sacramento, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;09-07-2010;0;33.3;14.3
OQ721206;USA;USA: Sacramento, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;02-08-2010;0;31.6;13.4
OQ721679;USA;USA: Sacramento, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;17-09-2010;0.02;31.5;13.9
OQ721742;USA;USA: Sacramento, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;22-09-2010;0.02;31.5;13.9
OQ721167;USA;USA: Sacramento, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;18-08-2011;0;33.3;14.4
OQ721691;USA;USA: Sacramento, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;20-08-2011;0;33.3;14.4
OQ721712;USA;USA: Sacramento, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;24-08-2011;0;33.3;14.4
OQ721113;USA;USA: Sacramento, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;29-08-2011;0;33.3;14.4
OQ721494;USA;USA: Sacramento, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;02-09-2011;0;33.1;14.6
OQ721312;USA;USA: Sacramento, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;06-09-2011;0;33.1;14.6
OQ721313;USA;USA: Sacramento, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;28-05-2012;0.05;28.5;11.4
OQ721556;USA;USA: Sacramento, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;13-06-2012;0.06;30.9;13.6
OQ721796;USA;USA: Sacramento, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;23-06-2012;0.06;30.9;13.6
OQ721700;USA;USA: Sacramento, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;31-05-2013;0.37;28.4;12.6
OQ721715;USA;USA: Sacramento, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;02-07-2013;0;34.6;15.6
OQ721746;USA;USA: Sacramento, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;30-07-2013;0;34.6;15.6
OQ721497;USA;USA: Sacramento, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;18-09-2013;0.6;29.8;14.2
OQ721519;USA;USA: Sacramento, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;10-07-2014;0.02;34.5;16.8
OQ721414;USA;USA: Sacramento, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;04-09-2014;0.54;31.9;15.2
OQ721823;USA;USA: Sacramento, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;07-09-2014;0.54;31.9;15.2
OQ721237;USA;USA: Sacramento, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;04-10-2015;0.31;28.9;13.1
OQ721764;USA;USA: Sacramento, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;20-06-2016;0;33.2;14.7
OQ721131;USA;USA: Sacramento, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;10-07-2016;0;34.4;15.6
OQ721566;USA;USA: Sacramento, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;23-05-2017;0.15;27.9;12
OQ721236;USA;USA: Sacramento, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;08-09-2017;0;31.4;15.4
OQ721627;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;16-04-2008;0.02;22.1;7.7
MH507627;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;14-05-2008;0.47;22.3;10
MH507949;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;22-05-2008;0.47;22.3;10
OQ721180;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;02-06-2008;0.01;28.9;13.7
MH507628;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;11-06-2008;0.01;28.9;13.7
OQ721224;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;18-06-2008;0.01;28.9;13.7
OQ721457;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;18-06-2008;0.01;28.9;13.7
OQ721492;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;18-06-2008;0.01;28.9;13.7
OQ721761;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;28-07-2008;0.06;30.1;16.1
OQ721447;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;06-08-2008;0.16;30.5;16.9
OQ721721;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;11-08-2008;0.16;30.5;16.9
OQ721570;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;25-08-2008;0.16;30.5;16.9
MH507950;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;05-09-2008;0.01;29.8;15.3
OQ721624;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;10-09-2008;0.01;29.8;15.3
OQ721371;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;12-09-2008;0.01;29.8;15.3
MH507631;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;15-09-2008;0.01;29.8;15.3
OQ721174;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;19-09-2008;0.01;29.8;15.3
OQ721838;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;23-09-2008;0.01;29.8;15.3
OQ721161;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;24-09-2008;0.01;29.8;15.3
OQ721547;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;24-09-2008;0.01;29.8;15.3
MH507951;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;26-09-2008;0.01;29.8;15.3
OQ721184;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;05-11-2008;1.75;22.9;9.4
OQ721607;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;10-11-2008;1.75;22.9;9.4
MH507638;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;01-12-2008;4.32;16.2;5.1
MH507953;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;01-12-2008;4.32;16.2;5.1
OQ721398;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;16-01-2009;0.18;19.9;6.8
OQ721629;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;05-02-2009;3.51;16.9;5
OQ721240;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;23-03-2009;0.16;19.5;5.7
OQ721677;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;23-06-2009;0.05;24.7;13.1
MH507957;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;15-09-2009;0.05;30.5;16.1
MH507952;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;29-09-2009;0.05;30.5;16.1
OQ721411;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;30-09-2009;0.05;30.5;16.1
MH507958;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;30-09-2009;0.05;30.5;16.1
MH507959;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;09-10-2009;0.08;24.1;10.2
OQ721395;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;22-10-2009;0.08;24.1;10.2
OQ721346;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;09-12-2009;3.33;16;4.9
MH507612;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;29-10-2012;0.55;26;11.7
MH507653;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;01-11-2013;0.66;20.4;8.2
OQ721655;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;14-07-2014;0.1;30.5;17.5
MH507657;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;17-07-2014;0.1;30.5;17.5
MH507658;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;13-08-2014;0.3;29.8;16.9
MH507960;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;13-08-2014;0.3;29.8;16.9
MH507961;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;23-09-2014;0.13;30.2;16.9
OQ721151;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;29-09-2014;0.13;30.2;16.9
OQ721166;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;02-10-2014;0;27.3;13.1
MH507662;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;03-10-2014;0;27.3;13.1
MH507962;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;10-11-2014;0.69;22.1;9
MH507666;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;17-11-2014;0.69;22.1;9
MH507964;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;17-11-2014;0.69;22.1;9
MH507670;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;16-04-2015;0.32;22.2;9.1
MH507967;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;16-04-2015;0.32;22.2;9.1
MH507968;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;28-04-2015;0.32;22.2;9.1
OQ721275;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;11-05-2015;1.63;20.6;10.8
MH507969;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;05-06-2015;0.06;28.1;15.5
MH507970;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;02-07-2015;1.31;28.4;16.4
MH507971;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;02-07-2015;1.31;28.4;16.4
MH507972;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;21-07-2015;1.31;28.4;16.4
OQ721171;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;03-08-2015;0.02;31.4;18.1
MH507974;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;07-08-2015;0.02;31.4;18.1
OQ721403;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;17-08-2015;0.02;31.4;18.1
OQ721767;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;24-08-2015;0.02;31.4;18.1
MH507976;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;28-08-2015;0.02;31.4;18.1
OQ721804;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;03-09-2015;0.97;30;17.4
MH507977;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;04-09-2015;0.97;30;17.4
OQ721522;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;08-09-2015;0.97;30;17.4
OQ721217;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;10-09-2015;0.97;30;17.4
OQ721318;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;10-09-2015;0.97;30;17.4
OQ721205;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;22-09-2015;0.97;30;17.4
OQ721561;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;22-09-2015;0.97;30;17.4
OQ721571;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;22-09-2015;0.97;30;17.4
OQ721696;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;28-09-2015;0.97;30;17.4
OQ721685;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;01-10-2015;0.64;26.4;14.4
MH507616;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;02-10-2015;0.64;26.4;14.4
MH507978;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;06-10-2015;0.64;26.4;14.4
OQ721493;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;07-10-2015;0.64;26.4;14.4
MH507979;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;09-10-2015;0.64;26.4;14.4
MH507980;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;13-10-2015;0.64;26.4;14.4
MH507981;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;20-10-2015;0.64;26.4;14.4
OQ721572;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;02-11-2015;1.15;20.1;7
MH507698;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;10-11-2015;1.15;20.1;7
OQ721600;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;16-11-2015;1.15;20.1;7
MH507701;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;03-02-2016;0.56;22.7;8.1
OQ721601;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;28-02-2016;0.56;22.7;8.1
MH507986;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;14-04-2016;0.92;21.8;9.3
OQ721628;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;28-04-2016;0.92;21.8;9.3
MH507987;USA;USA: San_Diego,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;02-05-2016;0.52;21.4;10.9
OQ721639;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;06-07-2017;0.08;30.8;18.2
OQ721777;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;04-08-2017;0.13;30.2;17.7
OQ721544;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;15-08-2017;0.13;30.2;17.7
OQ721766;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;24-08-2017;0.13;30.2;17.7
OQ721631;USA;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;11-09-2017;0.08;27.4;14.9
OQ721583;USA;USA: Kern, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;11-08-2004;0;36.8;14.7
OQ721187;USA;USA: Kern, California;USA;CA;Corvus brachyrhynchos;Bird;tissue;31-07-2012;;;
MH507884;USA;USA: Bakersfield,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;24-06-2012;0;33.1;17.4
MH507886;USA;USA: Bakersfield,California;USA;CA;Corvus brachyrhynchos;Bird;tissue;10-07-2012;0.02;36.2;20.5
OQ721690;USA;USA: Sacramento, California;USA;CA;Corvus corax;Bird;tissue;17-06-2008;0;32.1;13.7
OQ721781;USA;USA: Sacramento, California;USA;CA;Euphagus cyanocephalus;Bird;tissue;22-06-2016;0;33.2;14.7
OQ721319;USA;USA: Kern, California;USA;CA;Euphagus cyanocephalus;Bird;tissue;08-09-2004;0;33.6;11.7
MH507881;USA;USA: Bakersfield,California;USA;CA;Euphagus cyanocephalus;Bird;tissue;10-06-2012;0;33.1;17.4
MH507882;USA;USA: Bakersfield,California;USA;CA;Falco sparverius;Bird;tissue;13-06-2012;0;33.1;17.4
OQ721775;USA;USA: Sacramento, California;USA;CA;Haemorhous mexicanus;Bird;tissue;01-08-2005;0;34.9;15.7
OQ721227;USA;USA: Sacramento, California;USA;CA;Haemorhous mexicanus;Bird;tissue;24-07-2007;0;33.7;15.6
OQ721503;USA;USA: Kern, California;USA;CA;Haemorhous mexicanus;Bird;tissue;01-08-2005;0.84;36.9;16.3
MH507836;USA;USA: Bakersfield,California;USA;CA;Haemorhous mexicanus;Bird;tissue;17-08-2006;0;34.8;19.7
MH507857;USA;USA: Bakersfield,California;USA;CA;Haemorhous mexicanus;Bird;tissue;14-06-2009;0.06;31.7;18.3
MH507715;USA;USA: Bakersfield,California;USA;CA;Haemorhous mexicanus;Bird;tissue;18-06-2009;0.06;31.7;18.3
MH507870;USA;USA: Bakersfield,California;USA;CA;Haemorhous mexicanus;Bird;tissue;23-07-2010;0;36.6;21.2
MH507885;USA;USA: Bakersfield,California;USA;CA;Haemorhous mexicanus;Bird;tissue;09-07-2012;0.02;36.2;20.5
OQ721295;USA;USA: Sacramento, California;USA;CA;Mimus polyglottos;Bird;tissue;21-07-2005;0;36.3;17.2
OQ721196;USA;USA: Sacramento, California;USA;CA;Mimus polyglottos;Bird;tissue;23-08-2011;0;33.3;14.4
OQ721479;USA;USA: Kern, California;USA;CA;Passer domesticus;Bird;tissue;26-07-2005;0;38.8;17.8
OQ721688;USA;USA: Kern, California;USA;CA;Passer domesticus;Bird;tissue;19-08-2005;0.84;36.9;16.3
MH507834;USA;USA: Bakersfield,California;USA;CA;Passer domesticus;Bird;tissue;14-08-2006;0;34.8;19.7
MH507856;USA;USA: Bakersfield,California;USA;CA;Passer domesticus;Bird;tissue;24-09-2008;0;33.7;18.3
MH507861;USA;USA: Bakersfield,California;USA;CA;Passer domesticus;Bird;tissue;24-06-2009;0.06;31.7;18.3
MH507863;USA;USA: Bakersfield,California;USA;CA;Passer domesticus;Bird;tissue;13-07-2009;0;37.9;22.6
MH507865;USA;USA: Bakersfield,California;USA;CA;Passer domesticus;Bird;tissue;06-07-2010;0;36.6;21.2
MH507869;USA;USA: Bakersfield,California;USA;CA;Passer domesticus;Bird;tissue;22-07-2010;0;36.6;21.2
